ENTREZID	Normal	Normal	Normal	Normal	Normal	Normal	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer
108570035	0.238989089	0.071867479	0.078134306	0.019175823	0.16923702	0.141733343	0	0	0	0	0.021548749	0	0
107987252	0	0	0	0	0	0	0	0	0	0	0	0	0
107987205	0.018764705	0.005995495	0	0	0.014118481	0.006756575	0.909594819	0.57091358	0.011795219	0.037611712	0.064716823	0	0.09347406
107987066	0	0	0	0	0	0	0	0	0	0	0	0	0
107987032	0.097240806	0.035507801	0	0	0	0	0	0	0.087320212	0.044550425	0.021293322	0	0
107986927	0.090944287	0.188873945	0.210608932	0.031012751	0.068426079	0.081865379	0.114010516	0.253076287	0.107186716	0.045571863	0.113263951	0.021569327	0.088088724
107986898	0	0	0	0.014284508	0	0.030165829	0.157540121	0.155422967	0	0	0.080260777	0	0
107986703	0	0	0	0	0	0	0	0	0	0	0	0	0
107986453	0.068389139	0.087403817	0.063350273	0	0.205822741	0	0	0.050749515	0	0	0	0	0
107986404	3.493639884	2.733259129	3.565183336	2.205470477	2.883846475	3.70598448	1.376179572	4.133906504	3.738648896	4.183269795	4.975021924	0.583447306	5.83288878
107986321	0	0	0	0	0	0	0	0	0.029755137	0.025301588	0.084652033	0	0
107986266	0	0	0	0	0	0	0.009816851	0	0.007383431	0	0	0.011143333	0.006501309
107986164	0	0	0	0	0	0	0	0	0	0	0	0	0
107986115	0	0	0	0.005670503	0	0	0.006948722	0.043188639	0	0	0.019116611	0	0
107986100	0.062310512	0.044241728	0.179571826	0.056662394	0.020836513	0.029914717	0.324029889	0.041101111	0.078334953	0.233136057	0.095511186	0.065681033	0.015328006
107986096	0	0	0	0	0	0	0	0	0	0	0.025398719	0	0.018342382
107986046	0	0	0	0	0	0	0	0	0	0	0	0	0
107985899	0	0.026069018	0	0	0	0	0	0.075682624	0.217968935	0	0.156330722	0.735336579	0
107985816	0.013685088	0	0	0	0	0	1.212360237	0.507764524	4.628008341	0	0.041953722	0	0
107985773	0	0	0	0	0	0	0	0	0	0	0	0	0
107985579	0.042580851	0.027209941	0	0.065341894	0.112131754	0.02299802	0.017793549	0.031597964	0.107062801	0	0	0.010098933	0.023567916
107985578	0	0	0.019608418	0	0.031853519	0	0	0.015708183	0	0	0	0	0.011716234
107985456	0	0	0	0	0	0	0	0	0	0	0	0.108468367	0.126566503
107985317	0.002361486	0	0	0	0	0.010203554	0	0.003504775	0.041563078	0.003786664	0.021718487	0	0.0026141
107985280	0	0	0	0	0	0	0	0	0	0	0	0	0
107985210	0	0	0	0	0	0	0	0.047712138	0	0	0.049277315	0	0.035586966
107985126	0	0	0	0	0	0	0	0.007482428	0	0	0	0	0
107985092	0.026856985	0.068648415	0	0	0	0	0.493808049	0.159438061	0.067527631	0	0	0	0.029729944
107985075	0.007145983	0	0.052955771	0	0	0	0.191112972	0.371197259	0	0	0.043814198	0	0.047462439
107984977	0	0	0	0	0	0	0	0	0	0	0	0	0.029948317
107984921	0.023836091	0.035540628	0.022079864	0.032513214	0.035868339	0.05149572	0.086324758	0.170984423	0.099886789	0.114664144	0.255756097	0.128139749	0.101145943
107984660	0.37915743	0.394423175	0.081679388	0.445018124	0.424597393	0.533390461	1.252789977	0.314077712	0.521006619	0.523147531	0.554150706	0.752860981	1.46412858
107984178	0	0	0	0	0	0	0	0	0	0	0	0	0
107983990	0.601491392	0.357508858	0.25303968	0.290204279	0.292483845	0.425589883	0.201957504	0.943374344	0.361578269	0.844461106	1.07296132	0.132065983	0.870818415
107983987	0	0	0	0	0	0	0	0	0	0	0	0	0
107983965	0	0	0	0	0	0	0.098617792	0.187066915	0	0	0.004110714	0	0.002968665
107983955	0	0	0	0	0	0	0	0	0	0	0	0	0
107546764	0	0	0	0	0	0	0.248248705	0	0	0	0	0	0.032881044
107397392	0	0	0	0	0	0	0	0	0	0	0	0	0
107282092	0.674902337	0.325750205	0.272683144	0.249734256	0.172865884	0.19647691	0.708065313	1.10820774	0.889085601	0.892249107	1.3151458	0.326945587	1.065012538
107178918	0	0	0	0	0	0	0	0	0	0	0.050928359	0	0
107161159	0	0	0	0	0	0	0	0	0	0	0	0	0
107080638	0.936564534	0.915091637	0.460396201	0.610151583	0.738556471	0.691231807	3.790368904	1.977800329	1.546464108	2.498001355	1.437971415	2.563839346	1.206964097
107075116	0.0280125	0.028640799	0	0.030567979	0	0.072622169	0.084281568	1.080936005	0.105649488	0.278493398	0.188928497	0	0.037210882
106821730	0.001996493	0	0	0	0	0	0	0.020741516	0	0	0.003060276	0	0
106780825	0	0	0	0	0	0	0	0	0	0	0	0	0
106780802	0.004716924	0	0	0	0	0	0	0	0.130459529	0	0.007230224	0	0.01044301
106699570	0.026727061	0.028465134	0	0.006076099	0.02681243	0	0.014891491	0.026444461	0.01120016	0	0.04096794	0.016903674	0.019724082
106660612	0.551432059	0.588216796	0.683751936	0.527112307	0.483499734	0.600349789	2.518407443	0.573525931	1.664877935	2.360257191	0.938426626	0.757926824	2.071583315
106660610	0	0	0	0	0	0	0	0	0	0	0	0.028441415	0
106660609	0	0	0	0	0	0	0	0.036652428	0	0	0	0.023428752	0
106660606	0.105235532	0.218554136	0.048740924	0.089715457	0.118768123	0.056837963	0.439754849	0.468552668	0.628420403	0.506238295	0.524250289	0.399340682	0.451409765
106614088	0.114589801	0	0	0.039076066	0	0.082520302	0.239422085	0.255100897	0	0.413427941	0.526938752	0.271773519	0.095135822
106481742	0	0	0	0	0	0	0	0	0	0	0	0	0
106480738	1.22655588	0.447880918	0.32462402	0.204864811	2.034048237	0.86526142	1.840993116	0.037150616	0.314691873	0	1.534773065	1.424832043	1.219216353
106480429	0.116769498	0.298471368	0.259598401	0.191132931	0	0.672719854	0.156144838	2.460891806	0.117439358	0.074896366	0.501164574	0.0443109	0.33607763
106480334	0	0	0	0	0	0	0.027414743	0.097366755	0	0	0.025140208	0	0.063544919
106478991	0.029567323	0.113364354	0.027388822	0.020165401	0	0.021292509	0.024710995	0.065823053	0.037171173	0.118528653	0.022660784	0.028050019	0.163651069
106478970	0	0	0	0	0	0	0	0	0	0	0	0	0
106478968	0	0	0	0	0	0	0	0	0.022955569	0	0	0	0
106478957	0.02446177	0	0.045318886	0	0	0	0.327104176	0.363046817	0.522794563	0.078449325	0.187478209	0.046412935	0.487413127
106478956	0.034935915	0	0	0	0	0.025158629	0	0	0	0	0.026775343	0	0.019336549
106456574	0	0	0	0	0	0	0	0	0	0	0	0	0
106182249	0	0	0	0	0	0	0	0	0	0	0	0	0
106146149	0	0	0	0	0	0	0	0	0	0	0	0	0
106146148	0	0	0	0	0	0	1.285318559	1.275504485	0	0	0	0	0.10014297
106144593	0.143237251	0.091531219	0	0	0.071847383	0.137533837	0.478844169	0.07086136	0.240098244	0.497644744	0.146371876	0.045295587	0.369972639
106144585	0	0	0	0	0	0	0	0	0	0	0	0	0.023903473
106144568	0	0	0	0	0	0	0.046240317	0	0	0	0	0	0.061246237
106144537	0	0	0	0	0	0	0	0	0	0	0	0	0
106144535	0	0	0	0	0	0	0.174831542	0	0	0.209649057	0	0	0.144729952
106144532	0.107967777	0.165584116	0.160020455	0.206180247	0.129975165	0.124402465	2.779221182	0.192287108	1.085871453	0.277003646	0.264793343	0.204854412	0.2629382
106144531	0	0	0	0	0	0	0	0	0	0	0	0	0
106144529	0.032148012	0	0	0	0	0.09260383	0	0.190848551	0.04041554	0	0.295663889	0	0
