"Entrez1"	"Entrez2"	"R"	"P"	"FDR"
213	2512	-0.752747237682343	0.00298223429410616	0.0278243532386253
4538	4512	0.906593382358551	1.92961786174006e-05	0.00160586513226362
2512	4508	-0.708791196346283	0.00668178552834942	0.0444571557438811
4538	4508	0.97252744436264	2.6191476543147e-08	1.29398366254833e-05
4512	4508	0.917582392692566	9.90624128682782e-06	0.00104519240695768
4538	4514	0.862637341022491	0.000147447980680671	0.00502113610359505
4512	4514	0.961538434028625	1.6317744133687e-07	4.9793116290295e-05
4508	4514	0.851648330688477	0.000220219578060732	0.0064119124107954
4538	4513	0.989010989665985	1.7507284510998e-10	3.20537782591067e-07
4512	4513	0.912087917327881	1.39755482373438e-05	0.00135089732573704
4508	4513	0.989010989665985	1.7507284510998e-10	3.20537782591067e-07
4514	4513	0.868131875991821	0.00011910252263303	0.00447713287071626
4538	4519	0.967032968997955	7.06411160678044e-08	2.68134724098831e-05
4512	4519	0.873626351356506	9.5289061013748e-05	0.00393874106779935
4508	4519	0.983516454696655	1.61122981623407e-09	1.51968266758441e-06
4514	4519	0.824175834655762	0.000530222675120484	0.0108502174642505
4513	4519	0.97802197933197	7.75781150430532e-09	4.82923766143006e-06
4512	345	0.708791196346283	0.00668178552834942	0.0444571557438811
4514	345	0.747252762317657	0.00332674039843095	0.0294747494737157
2512	5004	-0.818681299686432	0.000620988718596394	0.0117354425417807
6288	5004	0.736263751983643	0.0041077081506331	0.0333296184015786
213	4537	0.829670310020447	0.000450286563231206	0.0100323330569587
2512	4537	-0.851648330688477	0.000220219578060732	0.0064119124107954
4538	4537	0.807692289352417	0.000839160418255158	0.0138930149032935
4512	4537	0.857142865657806	0.000180934032513846	0.00564851731393528
4508	4537	0.818681299686432	0.000620988718596394	0.0117354425417807
4514	4537	0.873626351356506	9.5289061013748e-05	0.00393874106779935
4513	4537	0.818681299686432	0.000620988718596394	0.0117354425417807
4519	4537	0.807692289352417	0.000839160418255158	0.0138930149032935
5004	4537	0.758241772651672	0.0026660778187042	0.0259398787455981
213	335	0.851648330688477	0.000220219578060732	0.0064119124107954
4537	335	0.851648330688477	0.000220219578060732	0.0064119124107954
2512	4535	-0.851648330688477	0.000220219578060732	0.0064119124107954
4538	4535	0.840659320354462	0.000319071451182928	0.008107019524954
4512	4535	0.868131875991821	0.00011910252263303	0.00447713287071626
4508	4535	0.802197813987732	0.00096877861986111	0.0149643843886735
4514	4535	0.895604372024536	3.48097715603402e-05	0.00230522157407572
4513	4535	0.813186824321747	0.000723607503004597	0.0128113103134346
4519	4535	0.774725258350372	0.00187136218718464	0.0213277730048049
345	4535	0.714285731315613	0.00608830347139033	0.0421763733690238
4537	4535	0.923076927661896	6.85168376524103e-06	0.000817082977751445
4538	4541	0.934065937995911	2.99870279008019e-06	0.000478639099185876
